C000  4C F5 C5            A:00 X:00 Y:00 SR:24 SP:FD CYC:7
C5F5  A2 00               A:00 X:00 Y:00 SR:24 SP:FD CYC:10
C5F7  86 00               A:00 X:00 Y:00 SR:26 SP:FD CYC:12
C5F9  86 10               A:00 X:00 Y:00 SR:26 SP:FD CYC:15
C5FB  86 11               A:00 X:00 Y:00 SR:26 SP:FD CYC:18
C5FD  20 2D C7            A:00 X:00 Y:00 SR:26 SP:FD CYC:21
C72D  EA                  A:00 X:00 Y:00 SR:26 SP:FB CYC:27
C72E  38                  A:00 X:00 Y:00 SR:26 SP:FB CYC:29
C72F  B0 04               A:00 X:00 Y:00 SR:27 SP:FB CYC:31
C735  EA                  A:00 X:00 Y:00 SR:27 SP:FB CYC:34
C736  18                  A:00 X:00 Y:00 SR:27 SP:FB CYC:36
C737  B0 03               A:00 X:00 Y:00 SR:26 SP:FB CYC:38
C739  4C 40 C7            A:00 X:00 Y:00 SR:26 SP:FB CYC:40
C740  EA                  A:00 X:00 Y:00 SR:26 SP:FB CYC:43
C741  38                  A:00 X:00 Y:00 SR:26 SP:FB CYC:45
C742  90 03               A:00 X:00 Y:00 SR:27 SP:FB CYC:47
C744  4C 4B C7            A:00 X:00 Y:00 SR:27 SP:FB CYC:49
C74B  EA                  A:00 X:00 Y:00 SR:27 SP:FB CYC:52
C74C  18                  A:00 X:00 Y:00 SR:27 SP:FB CYC:54
C74D  90 04               A:00 X:00 Y:00 SR:26 SP:FB CYC:56
C753  EA                  A:00 X:00 Y:00 SR:26 SP:FB CYC:59
C754  A9 00               A:00 X:00 Y:00 SR:26 SP:FB CYC:61
C756  F0 04               A:00 X:00 Y:00 SR:26 SP:FB CYC:63
C75C  EA                  A:00 X:00 Y:00 SR:26 SP:FB CYC:66
C75D  A9 40               A:00 X:00 Y:00 SR:26 SP:FB CYC:68
C75F  F0 03               A:40 X:00 Y:00 SR:24 SP:FB CYC:70
C761  4C 68 C7            A:40 X:00 Y:00 SR:24 SP:FB CYC:72
C768  EA                  A:40 X:00 Y:00 SR:24 SP:FB CYC:75
C769  A9 40               A:40 X:00 Y:00 SR:24 SP:FB CYC:77
C76B  D0 04               A:40 X:00 Y:00 SR:24 SP:FB CYC:79
C771  EA                  A:40 X:00 Y:00 SR:24 SP:FB CYC:82
C772  A9 00               A:40 X:00 Y:00 SR:24 SP:FB CYC:84
C774  D0 03               A:00 X:00 Y:00 SR:26 SP:FB CYC:86
C776  4C 7D C7            A:00 X:00 Y:00 SR:26 SP:FB CYC:88
C77D  EA                  A:00 X:00 Y:00 SR:26 SP:FB CYC:91
C77E  A9 FF               A:00 X:00 Y:00 SR:26 SP:FB CYC:93
C780  85 01               A:FF X:00 Y:00 SR:A4 SP:FB CYC:95
C782  24 01               A:FF X:00 Y:00 SR:A4 SP:FB CYC:98
C784  70 04               A:FF X:00 Y:00 SR:E4 SP:FB CYC:101
C78A  EA                  A:FF X:00 Y:00 SR:E4 SP:FB CYC:104
C78B  24 01               A:FF X:00 Y:00 SR:E4 SP:FB CYC:106
C78D  50 03               A:FF X:00 Y:00 SR:E4 SP:FB CYC:109
C78F  4C 96 C7            A:FF X:00 Y:00 SR:E4 SP:FB CYC:111
C796  EA                  A:FF X:00 Y:00 SR:E4 SP:FB CYC:114
C797  A9 00               A:FF X:00 Y:00 SR:E4 SP:FB CYC:116
C799  85 01               A:00 X:00 Y:00 SR:66 SP:FB CYC:118
C79B  24 01               A:00 X:00 Y:00 SR:66 SP:FB CYC:121
C79D  50 04               A:00 X:00 Y:00 SR:26 SP:FB CYC:124
C7A3  EA                  A:00 X:00 Y:00 SR:26 SP:FB CYC:127
C7A4  24 01               A:00 X:00 Y:00 SR:26 SP:FB CYC:129
C7A6  70 03               A:00 X:00 Y:00 SR:26 SP:FB CYC:132
C7A8  4C AF C7            A:00 X:00 Y:00 SR:26 SP:FB CYC:134
C7AF  EA                  A:00 X:00 Y:00 SR:26 SP:FB CYC:137
C7B0  A9 00               A:00 X:00 Y:00 SR:26 SP:FB CYC:139
C7B2  10 04               A:00 X:00 Y:00 SR:26 SP:FB CYC:141
C7B8  EA                  A:00 X:00 Y:00 SR:26 SP:FB CYC:144
C7B9  A9 80               A:00 X:00 Y:00 SR:26 SP:FB CYC:146
C7BB  10 03               A:80 X:00 Y:00 SR:A4 SP:FB CYC:148
C7BD  4C D9 C7            A:80 X:00 Y:00 SR:A4 SP:FB CYC:150
C7D9  EA                  A:80 X:00 Y:00 SR:A4 SP:FB CYC:153
C7DA  60                  A:80 X:00 Y:00 SR:A4 SP:FB CYC:155
C600  20 DB C7            A:80 X:00 Y:00 SR:A4 SP:FD CYC:161
C7DB  EA                  A:80 X:00 Y:00 SR:A4 SP:FB CYC:167
C7DC  A9 FF               A:80 X:00 Y:00 SR:A4 SP:FB CYC:169
